Make Id,Make,Make Model,Model,Trim Description,Engine Id,Engine Fuel Type,Engine Cylinders,Engine Size,Engine Horsepower Hp,Engine Rpm,Engine Drive Type,Engine Transmission,Body Id,Body Type,Body Doors,Body Seats
24,Alfa Romeo,Alfa Romeo Giulia,Giulia,Ti Sport Carbon 4dr Sedan (2.0L 4cyl Turbo 8A),6345,gas,I4,2,280,5200,rear wheel drive,8-speed shiftable automatic,6345,Sedan,4,5
24,Alfa Romeo,Alfa Romeo Giulia,Giulia,Ti Sport Carbon 4dr Sedan AWD (2.0L 4cyl Turbo 8A),6346,gas,I4,2,280,5200,all wheel drive,8-speed shiftable automatic,6346,Sedan,4,5
24,Alfa Romeo,Alfa Romeo Stelvio,Stelvio,4dr SUV (2.0L 4cyl Turbo 8A),6348,gas,I4,2,280,5200,rear wheel drive,8-speed shiftable automatic,6348,SUV,5,5
24,Alfa Romeo,Alfa Romeo Stelvio,Stelvio,4dr SUV AWD (2.0L 4cyl Turbo 8A),6349,gas,I4,2,280,5200,all wheel drive,8-speed shiftable automatic,6349,SUV,5,5
24,Alfa Romeo,Alfa Romeo Stelvio,Stelvio,Quadrifoglio 4dr SUV AWD (2.9L 6cyl Turbo 8A),6356,gas,V6,2.9,505,6500,all wheel drive,8-speed shiftable automatic,6356,SUV,5,5
24,Alfa Romeo,Alfa Romeo Stelvio,Stelvio,Sport 4dr SUV (2.0L 4cyl Turbo 8A),6350,gas,I4,2,280,5200,rear wheel drive,8-speed shiftable automatic,6350,SUV,5,5
24,Alfa Romeo,Alfa Romeo Stelvio,Stelvio,Sport 4dr SUV AWD (2.0L 4cyl Turbo 8A),6351,gas,I4,2,280,5200,all wheel drive,8-speed shiftable automatic,6351,SUV,5,5
24,Alfa Romeo,Alfa Romeo Stelvio,Stelvio,Ti 4dr SUV AWD (2.0L 4cyl Turbo 8A),6352,gas,I4,2,280,5200,all wheel drive,8-speed shiftable automatic,6352,SUV,5,5
24,Alfa Romeo,Alfa Romeo Stelvio,Stelvio,Ti Lusso 4dr SUV AWD (2.0L 4cyl Turbo 8A),6353,gas,I4,2,280,5200,all wheel drive,8-speed shiftable automatic,6353,SUV,5,5
24,Alfa Romeo,Alfa Romeo Stelvio,Stelvio,Ti Sport 4dr SUV AWD (2.0L 4cyl Turbo 8A),6354,gas,I4,2,280,5200,all wheel drive,8-speed shiftable automatic,6354,SUV,5,5
24,Alfa Romeo,Alfa Romeo Stelvio,Stelvio,Ti Sport Carbon 4dr SUV AWD (2.0L 4cyl Turbo 8A),6355,gas,I4,2,280,5200,all wheel drive,8-speed shiftable automatic,6355,SUV,5,5
44,Aston Martin,Aston Martin DB11,DB11,AMR 2dr Coupe (5.2L 12cyl Turbo 8A),6359,gas,V12,5.2,630,6500,rear wheel drive,8-speed shiftable automatic,6359,Coupe,2,4
44,Aston Martin,Aston Martin DB11,DB11,V8 2dr Coupe (4.0L 8cyl Turbo 8A),6358,gas,V8,4,503,6000,rear wheel drive,8-speed shiftable automatic,6358,Coupe,2,4
44,Aston Martin,Aston Martin DB11,DB11,V8 Volante 2dr Convertible (4.0L 8cyl Turbo 8A),6357,gas,V8,4,503,6000,rear wheel drive,8-speed shiftable automatic,6357,Convertible,2,4
44,Aston Martin,Aston Martin DBS Superleggera,DBS Superleggera,2dr Coupe (5.2L 12cyl Turbo 8A),6361,gas,V12,5.2,715,6500,rear wheel drive,8-speed shiftable automatic,6361,Coupe,2,4
44,Aston Martin,Aston Martin DBS Superleggera,DBS Superleggera,Volante 2dr Convertible (5.2L 12cyl Turbo 8A),6360,gas,V12,5.2,715,6500,rear wheel drive,8-speed shiftable automatic,6360,Convertible,2,4
44,Aston Martin,Aston Martin Vantage,Vantage,AMR 59 Edition 2dr Coupe (4.0L 8cyl Turbo 7M),6364,gas,V8,4,510,6000,rear wheel drive,7-speed manual,6364,Coupe,2,2
44,Aston Martin,Aston Martin Vantage,Vantage,AMR Hero 2dr Coupe (4.0L 8cyl Turbo 7M),6363,gas,V8,4,510,6000,rear wheel drive,7-speed manual,6363,Coupe,2,2
44,Aston Martin,Aston Martin Vantage,Vantage,2dr Coupe (4.0L 8cyl Turbo 8A),6362,gas,V8,4,503,6000,rear wheel drive,8-speed shiftable automatic,6362,Coupe,2,2
2,Audi,Audi A3,A3,Premium Plus S line 4dr Sedan AWD (2.0L 4cyl Turbo 7AM),6368,gas,I4,2,228,4500,all wheel drive,7-speed automated manual,6368,Sedan,4,5
2,Audi,Audi A3,A3,Premium S line 4dr Sedan AWD (2.0L 4cyl Turbo 7AM),6367,gas,I4,2,228,4500,all wheel drive,7-speed automated manual,6367,Sedan,4,5
2,Audi,Audi A3,A3,Sport Premium 4dr Sedan (2.0L 4cyl Turbo 7AM),6365,gas,I4,2,184,4400,front wheel drive,7-speed automated manual,6365,Sedan,4,5
2,Audi,Audi A3,A3,Sport Premium Plus 4dr Sedan (2.0L 4cyl Turbo 7AM),6366,gas,I4,2,184,4400,front wheel drive,7-speed automated manual,6366,Sedan,4,5
2,Audi,Audi A4,A4,Premium 4dr Sedan AWD w/45 TFSI (2.0L 4cyl Turbo 7AM),6370,gas,I4,2,248,5000,all wheel drive,7-speed automated manual,6370,Sedan,4,5
2,Audi,Audi A4,A4,Premium 4dr Sedan w/40 TFSI (2.0L 4cyl Turbo 7AM),6369,gas,I4,2,188,4200,front wheel drive,7-speed automated manual,6369,Sedan,4,5
2,Audi,Audi A4,A4,Premium Plus 4dr Sedan w/40 TFSI (2.0L 4cyl Turbo 7AM),6371,gas,I4,2,188,4200,front wheel drive,7-speed automated manual,6371,Sedan,4,5
2,Audi,Audi A4,A4,Premium Plus 4dr Sedan AWD w/45 TFSI (2.0L 4cyl Turbo 7AM),6372,gas,I4,2,248,5000,all wheel drive,7-speed automated manual,6372,Sedan,4,5
2,Audi,Audi A4,A4,Prestige 4dr Sedan w/40 TFSI (2.0L 4cyl Turbo 7AM),6373,gas,I4,2,188,4200,front wheel drive,7-speed automated manual,6373,Sedan,4,5
2,Audi,Audi A4,A4,Prestige 4dr Sedan AWD w/45 TFSI (2.0L 4cyl Turbo 7AM),6374,gas,I4,2,248,5000,all wheel drive,7-speed automated manual,6374,Sedan,4,5
2,Audi,Audi A4 allroad,A4 allroad,Premium 4dr Wagon AWD w/2.0 TFSI (2.0L 4cyl Turbo 7AM),6375,gas,I4,2,248,5000,all wheel drive,7-speed automated manual,6375,Wagon,5,5
2,Audi,Audi A4 allroad,A4 allroad,Premium Plus 4dr Wagon AWD w/2.0 TFSI (2.0L 4cyl Turbo 7AM),6376,gas,I4,2,248,5000,all wheel drive,7-speed automated manual,6376,Wagon,5,5
2,Audi,Audi A4 allroad,A4 allroad,Prestige 4dr Wagon AWD w/2.0 TFSI (2.0L 4cyl Turbo 7AM),6377,gas,I4,2,248,5000,all wheel drive,7-speed automated manual,6377,Wagon,5,5
2,Audi,Audi A5,A5,Premium 2dr Convertible AWD w/45 TFSI (2.0L 4cyl Turbo 7AM),6384,gas,I4,2,248,5000,all wheel drive,7-speed automated manual,6384,Convertible,2,4
2,Audi,Audi A5,A5,Premium 4dr Hatchback AWD w/45 TFSI (2.0L 4cyl Turbo 7AM),6378,gas,I4,2,248,5000,all wheel drive,7-speed automated manual,6378,Hatchback,5,5
2,Audi,Audi A5,A5,Premium 2dr Coupe AWD w/45 TFSI (2.0L 4cyl Turbo 7AM),6381,gas,I4,2,248,5000,all wheel drive,7-speed automated manual,6381,Coupe,2,4
2,Audi,Audi A5,A5,Premium Plus 2dr Coupe AWD w/45 TFSI (2.0L 4cyl Turbo 7AM),6382,gas,I4,2,248,5000,all wheel drive,7-speed automated manual,6382,Coupe,2,4
2,Audi,Audi A5,A5,Premium Plus 4dr Hatchback AWD w/45 TFSI (2.0L 4cyl Turbo 7AM),6379,gas,I4,2,248,5000,all wheel drive,7-speed automated manual,6379,Hatchback,5,5
2,Audi,Audi A5,A5,Premium Plus 2dr Convertible AWD w/45 TFSI (2.0L 4cyl Turbo 7AM),6385,gas,I4,2,248,5000,all wheel drive,7-speed automated manual,6385,Convertible,2,4
2,Audi,Audi A5,A5,Prestige 4dr Hatchback AWD w/45 TFSI (2.0L 4cyl Turbo 7AM),6380,gas,I4,2,248,5000,all wheel drive,7-speed automated manual,6380,Hatchback,5,5
2,Audi,Audi A5,A5,Prestige 2dr Convertible AWD w/45 TFSI (2.0L 4cyl Turbo 7AM),6386,gas,I4,2,248,5000,all wheel drive,7-speed automated manual,6386,Convertible,2,4
2,Audi,Audi A5,A5,Prestige 2dr Coupe AWD w/45 TFSI (2.0L 4cyl Turbo 7AM),6383,gas,I4,2,248,5000,all wheel drive,7-speed automated manual,6383,Coupe,2,4
2,Audi,Audi A6,A6,Premium 4dr Sedan AWD w/55 TFSI (3.0L 6cyl Turbo gas/electric mild hybrid 7AM),6390,mild hybrid,V6,3,335,5000,all wheel drive,7-speed automated manual,6390,Sedan,4,5
2,Audi,Audi A6,A6,Premium 4dr Sedan AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM),6387,mild hybrid,I4,2,248,4300,all wheel drive,7-speed automated manual,6387,Sedan,4,5
2,Audi,Audi A6,A6,Premium Plus 4dr Sedan AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM),6388,mild hybrid,I4,2,248,4300,all wheel drive,7-speed automated manual,6388,Sedan,4,5
2,Audi,Audi A6,A6,Premium Plus 4dr Sedan AWD w/55 TFSI (3.0L 6cyl Turbo gas/electric mild hybrid 7AM),6391,mild hybrid,V6,3,335,5000,all wheel drive,7-speed automated manual,6391,Sedan,4,5
